session	list	group	subject	age	sex	hand	assist	trial	file	stimulus	p_universal	is_target	is_word	targettype	red	is_schwa	duration	rt	rt_end	response	correctness
1	D2	2	16	19	female	right	Other	26	n70_0_p1_1_mono.wav	la nale	NA	no	no	filler	NA	no	727.0	1644	917	1	yes
1	D2	2	16	19	female	right	Other	27	f06_0_p2_1_mono.wav	le point	NA	no	yes	filler	NA	no	697.0	1039	342	5	yes
1	D2	2	16	19	female	right	Other	28	f21_0_p1_1_mono.wav	la horloge	NA	no	yes	filler	NA	no	691.0	1181	490	5	yes
1	D2	2	16	19	female	right	Other	29	t07_1_p2_2_mono.wav	la bedaine		yes	yes	mismatch	u	yes	973.0	1414	441	5	yes
1	D2	2	16	19	female	right	Other	30	f07_0_p4_1_mono.wav	l'année	NA	no	yes	filler	NA	no	683.0	913	230	1	no
1	D2	2	16	19	female	right	Other	31	n82_0_p2_1_mono.wav	le sermite	NA	no	no	filler	NA	no	876.0	1293	417	1	yes
1	D2	2	16	19	female	right	Other	32	f56_0_p3_1_mono.wav	le pays	NA	no	yes	filler	NA	no	738.0	2229	1491	5	yes
1	D2	2	16	19	female	right	Other	33	f36_0_p1_1_mono.wav	le type	NA	no	yes	filler	NA	no	965.0	1224	259	5	yes
1	D2	2	16	19	female	right	Other	34	f46_0_p1_1_mono.wav	la part	NA	no	yes	filler	NA	no	851.0	1135	284	5	yes
1	D2	2	16	19	female	right	Other	35	f40_0_p1_1_mono.wav	l'homme	NA	no	yes	filler	NA	no	638.0	978	340	1	no
1	D2	2	16	19	female	right	Other	36	f43_0_p4_1_mono.wav	la femme	NA	no	yes	filler	NA	no	863.0	1254	391	5	yes
1	D2	2	16	19	female	right	Other	37	n89_1_p3_1_mono.wav	le rebil	NA	no	no	filler	u	yes	912.0	1266	354	1	yes
1	D2	2	16	19	female	right	Other	38	n10_1_p1_1_mono.wav	le regot	NA	no	no	filler	u	yes	646.0	1447	801	5	no
1	D2	2	16	19	female	right	Other	39	t05_1_p2_2_mono.wav	le genièvre		yes	yes	mismatch	u	yes	967.0	2264	1297	5	yes
1	D2	2	16	19	female	right	Other	40	f26_0_p1_1_mono.wav	la ville	NA	no	yes	filler	NA	no	741.0	1180	439	5	yes
1	D2	2	16	19	female	right	Other	41	n83_0_p4_1_mono.wav	le sogueil	NA	no	no	filler	NA	no	915.0	1072	157	1	yes
1	D2	2	16	19	female	right	Other	42	n65_0_p4_1_mono.wav	la murte	NA	no	no	filler	NA	no	894.0	1240	346	1	yes
1	D2	2	16	19	female	right	Other	43	n16_2_p4_1_mono.wav	la p'doche	NA	no	no	filler	r	yes	875.0	1615	740	1	yes
1	D2	2	16	19	female	right	Other	44	f41_0_p4_1_mono.wav	la carte	NA	no	yes	filler	NA	no	836.0	1231	395	5	yes
1	D2	2	16	19	female	right	Other	45	n42_0_p1_1_mono.wav	l'endos	NA	no	no	filler	NA	no	588.0	1208	620	5	no
1	D2	2	16	19	female	right	Other	46	t22_1_p4_2_mono.wav	le renard		yes	yes	mismatch	u	yes	935.0	1756	821	1	no
1	D2	2	16	19	female	right	Other	47	f65_2_p1_1_mono.wav	le r'paire	NA	no	yes	filler	r	yes	914.0	1300	386	5	yes
1	D2	2	16	19	female	right	Other	48	n49_0_p2_1_mono.wav	la questier	NA	no	no	filler	NA	no	963.0	1397	434	1	yes
1	D2	2	16	19	female	right	Other	49	n53_0_p1_1_mono.wav	le frolège	NA	no	no	filler	NA	no	855.0	1588	733	1	yes
1	D2	2	16	19	female	right	Other	50	f05_0_p2_1_mono.wav	le chien	NA	no	yes	filler	NA	no	668.0	1139	471	5	yes
1	D2	2	16	19	female	right	Other	51	f55_0_p4_1_mono.wav	le livre	NA	no	yes	filler	NA	no	872.0	2215	1343	5	yes
1	D2	2	16	19	female	right	Other	52	f61_1_p3_1_mono.wav	le semi	NA	no	yes	filler	u	yes	716.0	1339	623	1	no
1	D2	2	16	19	female	right	Other	53	n68_0_p3_1_mono.wav	la moucle	NA	no	no	filler	NA	no	808.0	1152	344	1	yes
1	D2	2	16	19	female	right	Other	54	f44_0_p1_1_mono.wav	la lettre	NA	no	yes	filler	NA	no	839.0	1022	183	5	yes
1	D2	2	16	19	female	right	Other	55	n11_2_p4_1_mono.wav	le r'fant	NA	no	no	filler	r	yes	646.0	1182	536	1	yes
1	D2	2	16	19	female	right	Other	56	t02_2_p3_2_mono.wav	la l'vrette		yes	yes	match	r	yes	888.0	1335	447	5	yes
1	D2	2	16	19	female	right	Other	57	f59_0_p2_1_mono.wav	le soleil	NA	no	yes	filler	NA	no	871.0	995	124	5	yes
1	D2	2	16	19	female	right	Other	58	f54_0_p1_1_mono.wav	le journal	NA	no	yes	filler	NA	no	910.0	1270	360	5	yes
1	D2	2	16	19	female	right	Other	59	f13_0_p4_1_mono.wav	le papier	NA	no	yes	filler	NA	no	977.0	1147	170	1	no
1	D2	2	16	19	female	right	Other	60	n72_0_p3_1_mono.wav	la teune	NA	no	no	filler	NA	no	893.0	1648	755	1	yes
1	D2	2	16	19	female	right	Other	61	n39_0_p2_1_mono.wav	le grat	NA	no	no	filler	NA	no	621.0	1409	788	1	yes
1	D2	2	16	19	female	right	Other	62	f20_0_p3_1_mono.wav	la famille	NA	no	yes	filler	NA	no	856.0	1031	175	5	yes
1	D2	2	16	19	female	right	Other	63	f50_0_p2_1_mono.wav	le café	NA	no	yes	filler	NA	no	827.0	1010	183	5	yes
1	D2	2	16	19	female	right	Other	64	t19_1_p3_2_mono.wav	le chenil		yes	yes	mismatch	u	yes	917.0	1653	736	1	no
1	D2	2	16	19	female	right	Other	65	n24_2_p4_1_mono.wav	le f'quon	NA	no	no	filler	r	yes	660.0	3878	3218	5	no
1	D2	2	16	19	female	right	Other	66	f18_0_p3_1_mono.wav	l'enfant	NA	no	yes	filler	NA	no	513.0	1909	1396	1	no
1	D2	2	16	19	female	right	Other	67	n60_0_p1_1_mono.wav	le tinge	NA	no	no	filler	NA	no	954.0	1544	590	1	yes
1	D2	2	16	19	female	right	Other	68	f28_0_p4_1_mono.wav	le frère	NA	no	yes	filler	NA	no	938.0	1051	113	5	yes
1	D2	2	16	19	female	right	Other	69	f64_2_p1_1_mono.wav	le m'lon	NA	no	yes	filler	r	yes	596.0	1093	497	1	no
1	D2	2	16	19	female	right	Other	70	n31_0_p1_1_mono.wav	l'annue	NA	no	no	filler	NA	no	692.0	1602	910	5	no
1	D2	2	16	19	female	right	Other	71	n48_0_p2_1_mono.wav	la mainou	NA	no	no	filler	NA	no	740.0	1307	567	1	yes
1	D2	2	16	19	female	right	Other	72	f39_0_p1_1_mono.wav	l'histoire	NA	no	yes	filler	NA	no	949.0	1158	209	1	no
1	D2	2	16	19	female	right	Other	73	t21_1_p1_2_mono.wav	le recul		yes	yes	mismatch	u	yes	833.0	994	161	5	yes
1	D2	2	16	19	female	right	Other	74	n13_1_p2_1_mono.wav	le seblème	NA	no	no	filler	u	yes	846.0	1249	403	5	no
1	D2	2	16	19	female	right	Other	75	n35_0_p3_1_mono.wav	le missien	NA	no	no	filler	NA	no	721.0	3556	2835	1	yes
1	D2	2	16	19	female	right	Other	76	f30_0_p4_1_mono.wav	le garçon	NA	no	yes	filler	NA	no	615.0	895	280	5	yes
1	D2	2	16	19	female	right	Other	77	n69_0_p1_1_mono.wav	la madaine	NA	no	no	filler	NA	no	885.0	1050	165	1	yes
1	D2	2	16	19	female	right	Other	78	n38_0_p2_1_mono.wav	le suir	NA	no	no	filler	NA	no	855.0	1066	211	1	yes
1	D2	2	16	19	female	right	Other	79	n47_0_p4_1_mono.wav	la nure	NA	no	no	filler	NA	no	829.0	1212	383	1	yes
1	D2	2	16	19	female	right	Other	80	n91_2_p3_1_mono.wav	le r'lide	NA	no	no	filler	r	yes	861.0	1074	213	1	yes
1	D2	2	16	19	female	right	Other	81	n64_0_p3_1_mono.wav	l'oune	NA	no	no	filler	NA	no	601.0	1157	556	5	no
1	D2	2	16	19	female	right	Other	82	n20_1_p1_1_mono.wav	le mejet	NA	no	no	filler	u	yes	793.0	1267	474	5	no
1	D2	2	16	19	female	right	Other	83	n22_1_p4_1_mono.wav	le relogue	NA	no	no	filler	u	yes	809.0	988	179	1	yes
1	D2	2	16	19	female	right	Other	84	f04_0_p2_1_mono.wav	la soeur	NA	no	yes	filler	NA	no	790.0	1117	327	5	yes
1	D2	2	16	19	female	right	Other	85	n61_0_p3_1_mono.wav	l'apure	NA	no	no	filler	NA	no	885.0	1047	162	5	no
1	D2	2	16	19	female	right	Other	86	n66_0_p2_1_mono.wav	la cance	NA	no	no	filler	NA	no	861.0	1022	161	5	no
1	D2	2	16	19	female	right	Other	87	f14_0_p2_1_mono.wav	le soir	NA	no	yes	filler	NA	no	891.0	1063	172	5	yes
1	D2	2	16	19	female	right	Other	88	n51_0_p4_1_mono.wav	le caffant	NA	no	no	filler	NA	no	644.0	1444	800	1	yes
1	D2	2	16	19	female	right	Other	89	f08_0_p4_1_mono.wav	l'heure	NA	no	yes	filler	NA	no	735.0	1283	548	5	yes
1	D2	2	16	19	female	right	Other	90	n81_0_p1_1_mono.wav	le croux	NA	no	no	filler	NA	no	720.0	1421	701	5	no
1	D2	2	16	19	female	right	Other	91	t09_2_p2_2_mono.wav	le f'nouil		yes	yes	match	r	yes	820.0	1067	247	1	no
1	D2	2	16	19	female	right	Other	92	f15_0_p3_1_mono.wav	le train	NA	no	yes	filler	NA	no	648.0	1273	625	1	no
1	D2	2	16	19	female	right	Other	93	f10_0_p2_1_mono.wav	le chat	NA	no	yes	filler	NA	no	582.0	1148	566	1	no
1	D2	2	16	19	female	right	Other	94	n95_2_p4_1_mono.wav	le r'pus	NA	no	no	filler	r	yes	927.0	1476	549	1	yes
1	D2	2	16	19	female	right	Other	95	f70_2_p2_1_mono.wav	le s'mestre	NA	no	yes	filler	r	yes	960.0	1428	468	5	yes
1	D2	2	16	19	female	right	Other	96	n25_0_p1_1_mono.wav	l'incre	NA	no	no	filler	NA	no	771.0	1309	538	1	yes
1	D2	2	16	19	female	right	Other	97	f62_1_p1_1_mono.wav	le ressort	NA	no	yes	filler	u	yes	881.0	1613	732	1	no
1	D2	2	16	19	female	right	Other	98	t16_1_p1_2_mono.wav	la peluche		yes	yes	mismatch	u	yes	846.0	928	82	5	yes
1	D2	2	16	19	female	right	Other	99	f32_0_p4_1_mono.wav	le moment	NA	no	yes	filler	NA	no	534.0	828	294	5	yes
1	D2	2	16	19	female	right	Other	100	f02_0_p2_1_mono.wav	la main	NA	no	yes	filler	NA	no	540.0	833	293	1	no
1	D2	2	16	19	female	right	Other	101	f63_1_p2_1_mono.wav	le cheval	NA	no	yes	filler	u	yes	841.0	1385	544	1	no
1	D2	2	16	19	female	right	Other	102	f11_0_p2_1_mono.wav	le milieu	NA	no	yes	filler	NA	no	753.0	1190	437	1	no
1	D2	2	16	19	female	right	Other	103	f17_0_p4_1_mono.wav	l'accord	NA	no	yes	filler	NA	no	866.0	972	106	5	yes
1	D2	2	16	19	female	right	Other	104	t15_1_p3_2_mono.wav	la pelouse		yes	yes	mismatch	u	yes	1008.0	1178	170	5	yes
1	D2	2	16	19	female	right	Other	105	n06_1_p2_1_mono.wav	le retal	NA	no	no	filler	u	yes	907.0	1232	325	1	yes
1	D2	2	16	19	female	right	Other	106	n18_1_p3_1_mono.wav	le reclin	NA	no	no	filler	u	yes	888.0	2392	1504	1	yes
1	D2	2	16	19	female	right	Other	107	f52_0_p2_1_mono.wav	le genre	NA	no	yes	filler	NA	no	889.0	1471	582	5	yes
1	D2	2	16	19	female	right	Other	108	n14_2_p2_1_mono.wav	la ch'maille	NA	no	no	filler	r	yes	885.0	1066	181	1	yes
1	D2	2	16	19	female	right	Other	109	n75_0_p2_1_mono.wav	le fège	NA	no	no	filler	NA	no	882.0	1359	477	1	yes
1	D2	2	16	19	female	right	Other	110	f53_0_p2_1_mono.wav	le groupe	NA	no	yes	filler	NA	no	744.0	1229	485	5	yes
1	D2	2	16	19	female	right	Other	111	n63_0_p1_1_mono.wav	la histienne	NA	no	no	filler	NA	no	786.0	1020	234	1	yes
1	D2	2	16	19	female	right	Other	112	n77_0_p4_1_mono.wav	le bruc	NA	no	no	filler	NA	no	880.0	1869	989	1	yes
1	D2	2	16	19	female	right	Other	113	n59_0_p4_1_mono.wav	le solti	NA	no	no	filler	NA	no	856.0	1278	422	5	no
1	D2	2	16	19	female	right	Other	114	t18_1_p2_2_mono.wav	le reflet	C	yes	yes	mismatch	u	yes	845.0	1722	877	1	no
1	D2	2	16	19	female	right	Other	115	f34_0_p1_1_mono.wav	le silence	NA	no	yes	filler	NA	no	931.0	1342	411	5	yes
1	D2	2	16	19	female	right	Other	116	n37_0_p4_1_mono.wav	le padiot	NA	no	no	filler	NA	no	652.0	1080	428	5	no
1	D2	2	16	19	female	right	Other	117	f67_1_p3_1_mono.wav	le refuge	NA	no	yes	filler	u	yes	888.0	1106	218	5	yes
1	D2	2	16	19	female	right	Other	118	n28_0_p1_1_mono.wav	la veure	NA	no	no	filler	NA	no	834.0	891	57	1	yes
1	D2	2	16	19	female	right	Other	119	f42_0_p1_1_mono.wav	la chance	NA	no	yes	filler	NA	no	807.0	773	-34	5	yes
1	D2	2	16	19	female	right	Other	120	n58_0_p1_1_mono.wav	la siture	NA	no	no	filler	NA	no	885.0	1255	370	1	yes
1	D2	2	16	19	female	right	Other	121	f45_0_p2_1_mono.wav	la madame	NA	no	yes	filler	NA	no	767.0	1021	254	5	yes
1	D2	2	16	19	female	right	Other	122	f31_0_p3_1_mono.wav	le jour	NA	no	yes	filler	NA	no	878.0	1320	442	5	yes
1	D2	2	16	19	female	right	Other	123	n26_0_p4_1_mono.wav	la jun	NA	no	no	filler	NA	no	568.0	906	338	1	yes
1	D2	2	16	19	female	right	Other	124	f01_0_p4_1_mono.wav	l'oncle	NA	no	yes	filler	NA	no	764.0	1076	312	1	no
1	D2	2	16	19	female	right	Other	125	t23_2_p2_2_mono.wav	la s'cousse		yes	yes	match	r	yes	865.0	1275	410	1	no
1	D2	2	16	19	female	right	Other	126	f19_0_p2_1_mono.wav	l'idée	NA	no	yes	filler	NA	no	796.0	1448	652	5	yes
1	D2	2	16	19	female	right	Other	127	n52_0_p2_1_mono.wav	le drère	NA	no	no	filler	NA	no	819.0	3645	2826	5	no
1	D2	2	16	19	female	right	Other	128	f51_0_p3_1_mono.wav	le chef	NA	no	yes	filler	NA	no	767.0	1263	496	5	yes
1	D2	2	16	19	female	right	Other	129	n57_0_p1_1_mono.wav	le ratime	NA	no	no	filler	NA	no	859.0	1585	726	1	yes
1	D2	2	16	19	female	right	Other	130	n96_2_p1_1_mono.wav	la r'fare	NA	no	no	filler	r	yes	910.0	2468	1558	1	yes
1	D2	2	16	19	female	right	Other	131	n01_2_p1_1_mono.wav	la b'rasse	NA	no	no	filler	r	yes	889.0	1264	375	1	yes
1	D2	2	16	19	female	right	Other	132	f69_1_p4_1_mono.wav	le registre	NA	no	yes	filler	u	yes	945.0	811	-134	5	yes
1	D2	2	16	19	female	right	Other	133	n56_0_p3_1_mono.wav	le mossu	NA	no	no	filler	NA	no	820.0	1550	730	1	yes
1	D2	2	16	19	female	right	Other	134	n41_0_p2_1_mono.wav	l'agime	NA	no	no	filler	NA	no	766.0	2850	2084	5	no
1	D2	2	16	19	female	right	Other	135	f37_0_p2_1_mono.wav	l'amour	NA	no	yes	filler	NA	no	839.0	1532	693	5	yes
1	D2	2	16	19	female	right	Other	136	f03_0_p4_1_mono.wav	la nuit	NA	no	yes	filler	NA	no	735.0	1449	714	1	no
1	D2	2	16	19	female	right	Other	137	f12_0_p4_1_mono.wav	le monde	NA	no	yes	filler	NA	no	723.0	1108	385	5	yes
1	D2	2	16	19	female	right	Other	138	n92_1_p2_1_mono.wav	le regure	NA	no	no	filler	u	yes	940.0	1142	202	5	no
1	D2	2	16	19	female	right	Other	139	n94_2_p1_1_mono.wav	le s'questre	NA	no	no	filler	r	yes	1109.0	2402	1293	5	no
1	D2	2	16	19	female	right	Other	140	n19_1_p3_1_mono.wav	le chedel	NA	no	no	filler	u	yes	870.0	1769	899	1	yes
1	D2	2	16	19	female	right	Other	141	f68_2_p4_1_mono.wav	le r'tard	NA	no	yes	filler	r	yes	935.0	1470	535	5	yes
1	D2	2	16	19	female	right	Other	142	t01_2_p4_2_mono.wav	la b'lette	*	yes	yes	match	r	yes	879.0	2251	1372	1	no
1	D2	2	16	19	female	right	Other	143	n71_0_p3_1_mono.wav	la foite	NA	no	no	filler	NA	no	994.0	1749	755	1	yes
1	D2	2	16	19	female	right	Other	144	n40_0_p3_1_mono.wav	l'équise	NA	no	no	filler	NA	no	872.0	1095	223	1	yes
1	D2	2	16	19	female	right	Other	145	f60_0_p1_1_mono.wav	le tour	NA	no	yes	filler	NA	no	839.0	1320	481	5	yes
1	D2	2	16	19	female	right	Other	146	n34_0_p3_1_mono.wav	le teau	NA	no	no	filler	NA	no	473.0	1175	702	5	no
1	D2	2	16	19	female	right	Other	147	f23_0_p1_1_mono.wav	la mère	NA	no	yes	filler	NA	no	902.0	1176	274	5	yes
1	D2	2	16	19	female	right	Other	148	t10_2_p2_2_mono.wav	le r'bond		yes	yes	match	r	yes	747.0	1213	466	1	no
1	D2	2	16	19	female	right	Other	149	f72_2_p4_1_mono.wav	la r'vanche	NA	no	yes	filler	r	yes	869.0	1877	1008	1	no
1	D2	2	16	19	female	right	Other	150	f22_0_p3_1_mono.wav	la journée	NA	no	yes	filler	NA	no	793.0	1134	341	5	yes
1	D2	2	16	19	female	right	Other	151	f16_0_p4_1_mono.wav	l'école	NA	no	yes	filler	NA	no	771.0	1258	487	5	yes
1	D2	2	16	19	female	right	Other	152	n80_0_p2_1_mono.wav	le péhut	NA	no	no	filler	NA	no	988.0	1684	696	1	yes
1	D2	2	16	19	female	right	Other	153	n36_0_p1_1_mono.wav	le linde	NA	no	no	filler	NA	no	848.0	1209	361	5	no
1	D2	2	16	19	female	right	Other	154	n03_2_p2_1_mono.wav	la m'quisse	NA	no	no	filler	r	yes	912.0	1256	344	1	yes
1	D2	2	16	19	female	right	Other	155	n27_0_p2_1_mono.wav	la tuit	NA	no	no	filler	NA	no	916.0	1199	283	5	no
1	D2	2	16	19	female	right	Other	156	f35_0_p4_1_mono.wav	le soldat	NA	no	yes	filler	NA	no	677.0	1259	582	1	no
1	D2	2	16	19	female	right	Other	157	f29_0_p3_1_mono.wav	le fromage	NA	no	yes	filler	NA	no	818.0	1224	406	5	yes
1	D2	2	16	19	female	right	Other	158	f47_0_p2_1_mono.wav	la route	NA	no	yes	filler	NA	no	797.0	1797	1000	5	yes
1	D2	2	16	19	female	right	Other	159	f25_0_p3_1_mono.wav	la question	NA	no	yes	filler	NA	no	728.0	1384	656	5	yes
1	D2	2	16	19	female	right	Other	160	n88_1_p2_1_mono.wav	le messin	NA	no	no	filler	u	yes	704.0	1216	512	1	yes
1	D2	2	16	19	female	right	Other	161	f49_0_p2_1_mono.wav	le bureau	NA	no	yes	filler	NA	no	857.0	1982	1125	5	yes
1	D2	2	16	19	female	right	Other	162	n46_0_p1_1_mono.wav	la jourcie	NA	no	no	filler	NA	no	930.0	1426	496	5	no
1	D2	2	16	19	female	right	Other	163	f27_0_p1_1_mono.wav	le cadeau	NA	no	yes	filler	NA	no	604.0	990	386	5	yes
1	D2	2	16	19	female	right	Other	164	n93_1_p3_1_mono.wav	le revercle	NA	no	no	filler	u	yes	1027.0	1216	189	1	yes
1	D2	2	16	19	female	right	Other	165	n02_2_p2_1_mono.wav	la l'druche	NA	no	no	filler	r	yes	869.0	1775	906	5	no
1	D2	2	16	19	female	right	Other	166	t24_2_p1_2_mono.wav	le f'san	C	yes	yes	match	r	yes	573.0	1111	538	5	yes
1	D2	2	16	19	female	right	Other	167	n67_0_p2_1_mono.wav	la janne	NA	no	no	filler	NA	no	765.0	1295	530	1	yes
1	D2	2	16	19	female	right	Other	168	n87_1_p3_1_mono.wav	le chenache	NA	no	no	filler	u	yes	881.0	1583	702	1	yes
1	D2	2	16	19	female	right	Other	169	t11_1_p3_2_mono.wav	le remous		yes	yes	mismatch	u	yes	553.0	1189	636	5	yes
1	D2	2	16	19	female	right	Other	170	f48_0_p3_1_mono.wav	la scène	NA	no	yes	filler	NA	no	862.0	1717	855	1	no
1	D2	2	16	19	female	right	Other	171	n74_0_p1_1_mono.wav	le camont	NA	no	no	filler	NA	no	665.0	1581	916	1	yes
1	D2	2	16	19	female	right	Other	172	f57_0_p2_1_mono.wav	le prix	NA	no	yes	filler	NA	no	792.0	1283	491	1	no
1	D2	2	16	19	female	right	Other	173	n08_2_p2_1_mono.wav	la s'cotte	NA	no	no	filler	r	yes	817.0	1075	258	5	no
1	D2	2	16	19	female	right	Other	174	n90_2_p2_1_mono.wav	le d'sseau	NA	no	no	filler	r	yes	683.0	1310	627	5	no
1	D2	2	16	19	female	right	Other	175	n23_1_p2_1_mono.wav	la sepave	NA	no	no	filler	u	yes	897.0	1254	357	1	yes
1	D2	2	16	19	female	right	Other	176	t20_1_p3_2_mono.wav	le meneau		yes	yes	mismatch	u	yes	629.0	1656	1027	5	yes
1	D2	2	16	19	female	right	Other	177	n15_2_p3_1_mono.wav	la p'ssade	NA	no	no	filler	r	yes	898.0	1775	877	1	yes
1	D2	2	16	19	female	right	Other	178	n85_2_p1_1_mono.wav	le s'funt	NA	no	no	filler	r	yes	778.0	1155	377	5	no
1	D2	2	16	19	female	right	Other	179	t04_1_p1_2_mono.wav	la reliure		yes	yes	mismatch	u	yes	1026.0	2655	1629	1	no
1	D2	2	16	19	female	right	Other	180	n79_0_p4_1_mono.wav	le tavre	NA	no	no	filler	NA	no	855.0	1548	693	1	yes
1	D2	2	16	19	female	right	Other	181	t08_1_p3_2_mono.wav	la semelle		yes	yes	mismatch	u	yes	916.0	1473	557	5	yes
1	D2	2	16	19	female	right	Other	182	n07_1_p2_1_mono.wav	la bechesse	NA	no	no	filler	u	yes	898.0	2353	1455	5	no
1	D2	2	16	19	female	right	Other	183	n21_2_p1_1_mono.wav	le r'pèze	NA	no	no	filler	r	yes	831.0	1485	654	1	yes
1	D2	2	16	19	female	right	Other	184	t13_2_p3_2_mono.wav	le s'vrage		yes	yes	match	r	yes	998.0	1262	264	5	yes
1	D2	2	16	19	female	right	Other	185	n12_1_p1_1_mono.wav	le rechant	NA	no	no	filler	u	yes	686.0	3651	2965	1	yes
1	D2	2	16	19	female	right	Other	186	t14_2_p3_2_mono.wav	la ch'nille		yes	yes	match	r	yes	854.0	1315	461	1	no
1	D2	2	16	19	female	right	Other	187	n43_0_p2_1_mono.wav	l'ivée	NA	no	no	filler	NA	no	804.0	1778	974	1	yes
1	D2	2	16	19	female	right	Other	188	t12_2_p4_2_mono.wav	le r'quin		yes	yes	match	r	yes	641.0	886	245	5	yes
1	D2	2	16	19	female	right	Other	189	f24_0_p2_1_mono.wav	la maison	NA	no	yes	filler	NA	no	625.0	865	240	5	yes
1	D2	2	16	19	female	right	Other	190	n17_1_p2_1_mono.wav	la segence	NA	no	no	filler	u	yes	1016.0	1060	44	1	yes
1	D2	2	16	19	female	right	Other	191	n84_0_p4_1_mono.wav	le vort	NA	no	no	filler	NA	no	798.0	1499	701	1	yes
1	D2	2	16	19	female	right	Other	192	f71_1_p2_1_mono.wav	le record	NA	no	yes	filler	u	yes	909.0	1087	178	1	no
1	A1	1	1	22	female	right	Other	1	f66_2_p2_1_mono.wav	le d'main	NA	no	yes	filler	r	yes	671.0	2248	1577	5	yes
1	A1	1	1	22	female	right	Other	2	n75_0_p2_1_mono.wav	le fège	NA	no	no	filler	NA	no	882.0	1647	765	5	no
1	A1	1	1	22	female	right	Other	3	f34_0_p1_1_mono.wav	le silence	NA	no	yes	filler	NA	no	931.0	1405	474	5	yes
1	A1	1	1	22	female	right	Other	4	f72_1_p1_1_mono.wav	la revanche	NA	no	yes	filler	u	yes	900.0	1379	479	5	yes
1	A1	1	1	22	female	right	Other	5	n29_0_p2_1_mono.wav	le choint	NA	no	no	filler	NA	no	721.0	1816	1095	5	no
