"session"	"list"	"group"	"subject"	"age"	"sex"	"hand"	"assist"	"trial"	"file"	"stimulus"	"is_target"	"is_word"	"targettype"	"red"	"is_schwa"	"duration"	"rt"	"rt_end"	"response"	"correctness"	"oexperiment"	"spelling"	"subject_oexp"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	36	"n09_2_p1_1_mono.wav"	"le f'mmeil"	"no"	"no"	"filler"	"r"	"yes"	927	1551	624	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	37	"t11_2_p3_2_mono.wav"	"le r'mous"	"yes"	"yes"	"mismatch"	"r"	"yes"	562	1176	614	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	38	"n90_2_p2_1_mono.wav"	"le d'sseau"	"no"	"no"	"filler"	"r"	"yes"	683	1851	1168	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	39	"f01_0_p4_1_mono.wav"	"l'oncle"	"no"	"yes"	"filler"	NA	"no"	764	1386	622	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	40	"f44_0_p1_1_mono.wav"	"la lettre"	"no"	"yes"	"filler"	NA	"no"	839	1438	599	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	41	"n33_0_p2_1_mono.wav"	"la juisse"	"no"	"no"	"filler"	NA	"no"	912	1742	830	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	42	"n44_0_p1_1_mono.wav"	"la fanouille"	"no"	"no"	"filler"	NA	"no"	852	1252	400	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	43	"n65_0_p4_1_mono.wav"	"la murte"	"no"	"no"	"filler"	NA	"no"	894	1148	254	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	44	"n62_0_p4_1_mono.wav"	"l'hosor"	"no"	"no"	"filler"	NA	"no"	774	1055	281	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	45	"f70_1_p1_1_mono.wav"	"le semestre"	"no"	"yes"	"filler"	"u"	"yes"	947	1324	377	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	46	"t21_2_p3_2_mono.wav"	"le r'cul"	"yes"	"yes"	"mismatch"	"r"	"yes"	840	1451	611	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	47	"n69_0_p1_1_mono.wav"	"la madaine"	"no"	"no"	"filler"	NA	"no"	885	1210	325	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	48	"f55_0_p4_1_mono.wav"	"le livre"	"no"	"yes"	"filler"	NA	"no"	872	1173	301	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	49	"f27_0_p1_1_mono.wav"	"le cadeau"	"no"	"yes"	"filler"	NA	"no"	604	1066	462	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	50	"n50_0_p2_1_mono.wav"	"la rille"	"no"	"no"	"filler"	NA	"no"	802	1242	440	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	51	"f45_0_p2_1_mono.wav"	"la madame"	"no"	"yes"	"filler"	NA	"no"	767	1512	745	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	52	"n20_1_p1_1_mono.wav"	"le mejet"	"no"	"no"	"filler"	"u"	"yes"	793	1521	728	1	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	53	"n35_0_p3_1_mono.wav"	"le missien"	"no"	"no"	"filler"	NA	"no"	721	1199	478	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	54	"n19_1_p3_1_mono.wav"	"le chedel"	"no"	"no"	"filler"	"u"	"yes"	870	1139	269	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	55	"n63_0_p1_1_mono.wav"	"la histienne"	"no"	"no"	"filler"	NA	"no"	786	1640	854	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	56	"f18_0_p3_1_mono.wav"	"l'enfant"	"no"	"yes"	"filler"	NA	"no"	513	1018	505	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	57	"n64_0_p3_1_mono.wav"	"l'oune"	"no"	"no"	"filler"	NA	"no"	601	1289	688	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	58	"n52_0_p2_1_mono.wav"	"le drère"	"no"	"no"	"filler"	NA	"no"	819	1149	330	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	59	"n11_1_p4_1_mono.wav"	"le refant"	"no"	"no"	"filler"	"u"	"yes"	700	1385	685	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	60	"n61_0_p3_1_mono.wav"	"l'apure"	"no"	"no"	"filler"	NA	"no"	885	2062	1177	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	61	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1267	581	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	62	"f57_0_p2_1_mono.wav"	"le prix"	"no"	"yes"	"filler"	NA	"no"	792	1978	1186	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	63	"f53_0_p2_1_mono.wav"	"le groupe"	"no"	"yes"	"filler"	NA	"no"	744	1226	482	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	64	"n86_1_p3_1_mono.wav"	"le repire"	"no"	"no"	"filler"	"u"	"yes"	965	1038	73	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	65	"n76_0_p4_1_mono.wav"	"le tenre"	"no"	"no"	"filler"	NA	"no"	832	1064	232	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	66	"t15_2_p2_2_mono.wav"	"la p'louse"	"yes"	"yes"	"mismatch"	"r"	"yes"	889	1336	447	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	67	"n17_2_p4_1_mono.wav"	"la s'gence"	"no"	"no"	"filler"	"r"	"yes"	1084	1224	140	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	68	"t10_1_p1_2_mono.wav"	"le rebond"	"yes"	"yes"	"match"	"u"	"yes"	640	1193	553	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	69	"n34_0_p3_1_mono.wav"	"le teau"	"no"	"no"	"filler"	NA	"no"	473	1371	898	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	70	"f40_0_p1_1_mono.wav"	"l'homme"	"no"	"yes"	"filler"	NA	"no"	638	1143	505	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	71	"f58_0_p1_1_mono.wav"	"le service"	"no"	"yes"	"filler"	NA	"no"	935	1824	889	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	72	"n13_1_p2_1_mono.wav"	"le seblème"	"no"	"no"	"filler"	"u"	"yes"	846	1532	686	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	73	"n94_1_p2_1_mono.wav"	"le sequestre"	"no"	"no"	"filler"	"u"	"yes"	1007	1211	204	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	74	"n57_0_p1_1_mono.wav"	"le ratime"	"no"	"no"	"filler"	NA	"no"	859	1236	377	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	75	"n77_0_p4_1_mono.wav"	"le bruc"	"no"	"no"	"filler"	NA	"no"	880	1221	341	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	76	"f24_0_p2_1_mono.wav"	"la maison"	"no"	"yes"	"filler"	NA	"no"	625	1101	476	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	77	"n45_0_p3_1_mono.wav"	"la horgune"	"no"	"no"	"filler"	NA	"no"	731	994	263	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	78	"t04_1_p1_2_mono.wav"	"la reliure"	"yes"	"yes"	"match"	"u"	"yes"	1026	1421	395	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	79	"f31_0_p3_1_mono.wav"	"le jour"	"no"	"yes"	"filler"	NA	"no"	878	1183	305	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	80	"n24_2_p4_1_mono.wav"	"le f'quon"	"no"	"no"	"filler"	"r"	"yes"	660	1248	588	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	81	"n40_0_p3_1_mono.wav"	"l'équise"	"no"	"no"	"filler"	NA	"no"	872	1510	638	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	82	"n59_0_p4_1_mono.wav"	"le solti"	"no"	"no"	"filler"	NA	"no"	856	1573	717	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	83	"t16_1_p1_2_mono.wav"	"la peluche"	"yes"	"yes"	"match"	"u"	"yes"	846	1544	698	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	84	"f13_0_p4_1_mono.wav"	"le papier"	"no"	"yes"	"filler"	NA	"no"	977	1285	308	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	85	"f22_0_p3_1_mono.wav"	"la journée"	"no"	"yes"	"filler"	NA	"no"	793	1038	245	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	86	"f59_0_p2_1_mono.wav"	"le soleil"	"no"	"yes"	"filler"	NA	"no"	871	991	120	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	87	"f42_0_p1_1_mono.wav"	"la chance"	"no"	"yes"	"filler"	NA	"no"	807	2324	1517	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	88	"n80_0_p2_1_mono.wav"	"le péhut"	"no"	"no"	"filler"	NA	"no"	988	1224	236	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	89	"n67_0_p2_1_mono.wav"	"la janne"	"no"	"no"	"filler"	NA	"no"	765	1428	663	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	90	"f54_0_p1_1_mono.wav"	"le journal"	"no"	"yes"	"filler"	NA	"no"	910	1217	307	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	91	"f02_0_p2_1_mono.wav"	"la main"	"no"	"yes"	"filler"	NA	"no"	540	1044	504	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	92	"t14_1_p2_2_mono.wav"	"la chenille"	"yes"	"yes"	"match"	"u"	"yes"	938	1995	1057	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	93	"n42_0_p1_1_mono.wav"	"l'endos"	"no"	"no"	"filler"	NA	"no"	588	1065	477	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	94	"f29_0_p3_1_mono.wav"	"le fromage"	"no"	"yes"	"filler"	NA	"no"	818	1040	222	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	95	"n38_0_p2_1_mono.wav"	"le suir"	"no"	"no"	"filler"	NA	"no"	855	1270	415	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	96	"f65_2_p1_1_mono.wav"	"le r'paire"	"no"	"yes"	"filler"	"r"	"yes"	914	1579	665	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	97	"f56_0_p3_1_mono.wav"	"le pays"	"no"	"yes"	"filler"	NA	"no"	738	1236	498	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	98	"n06_1_p2_1_mono.wav"	"le retal"	"no"	"no"	"filler"	"u"	"yes"	907	1475	568	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	99	"f21_0_p1_1_mono.wav"	"la horloge"	"no"	"yes"	"filler"	NA	"no"	691	1120	429	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	100	"t23_2_p2_2_mono.wav"	"la s'cousse"	"yes"	"yes"	"mismatch"	"r"	"yes"	865	1411	546	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	101	"f46_0_p1_1_mono.wav"	"la part"	"no"	"yes"	"filler"	NA	"no"	851	1343	492	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	102	"n87_1_p3_1_mono.wav"	"le chenache"	"no"	"no"	"filler"	"u"	"yes"	881	1157	276	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	103	"n43_0_p2_1_mono.wav"	"l'ivée"	"no"	"no"	"filler"	NA	"no"	804	1265	461	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	104	"n71_0_p3_1_mono.wav"	"la foite"	"no"	"no"	"filler"	NA	"no"	994	1389	395	1	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	105	"n36_0_p1_1_mono.wav"	"le linde"	"no"	"no"	"filler"	NA	"no"	848	1766	918	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	106	"n78_0_p1_1_mono.wav"	"le jourlingue"	"no"	"no"	"filler"	NA	"no"	993	1250	257	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	107	"f23_0_p1_1_mono.wav"	"la mère"	"no"	"yes"	"filler"	NA	"no"	902	1788	886	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	108	"f09_0_p2_1_mono.wav"	"la pièce"	"no"	"yes"	"filler"	NA	"no"	830	1330	500	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	109	"f36_0_p1_1_mono.wav"	"le type"	"no"	"yes"	"filler"	NA	"no"	965	1361	396	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	110	"f38_0_p3_1_mono.wav"	"l'hôtel"	"no"	"yes"	"filler"	NA	"no"	721	937	216	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	111	"f20_0_p3_1_mono.wav"	"la famille"	"no"	"yes"	"filler"	NA	"no"	856	1254	398	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	112	"n93_2_p3_1_mono.wav"	"le r'vercle"	"no"	"no"	"filler"	"r"	"yes"	806	1608	802	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	113	"f26_0_p1_1_mono.wav"	"la ville"	"no"	"yes"	"filler"	NA	"no"	741	994	253	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	114	"n18_1_p3_1_mono.wav"	"le reclin"	"no"	"no"	"filler"	"u"	"yes"	888	2026	1138	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	115	"n32_0_p1_1_mono.wav"	"l'heule"	"no"	"no"	"filler"	NA	"no"	678	1084	406	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	116	"t01_2_p4_2_mono.wav"	"la b'lette"	"yes"	"yes"	"mismatch"	"r"	"yes"	879	1232	353	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	117	"n23_2_p1_1_mono.wav"	"la s'pave"	"no"	"no"	"filler"	"r"	"yes"	945	2682	1737	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	118	"t02_1_p1_2_mono.wav"	"la levrette"	"yes"	"yes"	"match"	"u"	"yes"	856	1092	236	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	119	"n30_0_p2_1_mono.wav"	"le pien"	"no"	"no"	"filler"	NA	"no"	691	1263	572	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	120	"f39_0_p1_1_mono.wav"	"l'histoire"	"no"	"yes"	"filler"	NA	"no"	949	1584	635	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	121	"t08_1_p3_2_mono.wav"	"la semelle"	"yes"	"yes"	"match"	"u"	"yes"	916	2666	1750	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	122	"f63_2_p4_1_mono.wav"	"le ch'val"	"no"	"yes"	"filler"	"r"	"yes"	779	1756	977	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	123	"n16_2_p4_1_mono.wav"	"la p'doche"	"no"	"no"	"filler"	"r"	"yes"	875	1327	452	5	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	124	"t07_2_p1_2_mono.wav"	"la b'daine"	"yes"	"yes"	"mismatch"	"r"	"yes"	756	1003	247	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	125	"f17_0_p4_1_mono.wav"	"l'accord"	"no"	"yes"	"filler"	NA	"no"	866	2896	2030	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	126	"t13_2_p3_2_mono.wav"	"le s'vrage"	"yes"	"yes"	"mismatch"	"r"	"yes"	998	1648	650	5	"no"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	127	"f10_0_p2_1_mono.wav"	"le chat"	"no"	"yes"	"filler"	NA	"no"	582	1275	693	1	"yes"	"1"	"-spelling"	"9_1"
1	"A1"	1	9	20	"female"	"left"	"Ilse"	128	"n48_0_p2_1_mono.wav"	"la mainou"	"no"	"no"	"filler"	NA	"no"	740	1500	760	1	"no"	"1"	"-spelling"	"9_1"
